Parametro,Fecha,Hora,Concentraciones horarias,Unidad
PM2.5,2024-01-26,17:00 - 18:00,19,µg/m³
PM2.5,2024-01-26,18:00 - 19:00,20,µg/m³
PM2.5,2024-01-26,19:00 - 20:00,16,µg/m³
PM2.5,2024-01-26,20:00 - 21:00,15,µg/m³
PM2.5,2024-01-26,21:00 - 22:00,13,µg/m³
PM2.5,2024-01-26,22:00 - 23:00,16,µg/m³
PM2.5,2024-01-27,23:00 - 0:00,11,µg/m³
PM2.5,2024-01-27,0:00 - 1:00,8,µg/m³
PM2.5,2024-01-27,1:00 - 2:00,8,µg/m³
PM2.5,2024-01-27,2:00 - 3:00,6,µg/m³
PM2.5,2024-01-27,3:00 - 4:00,6,µg/m³
PM2.5,2024-01-27,4:00 - 5:00,5,µg/m³
PM2.5,2024-01-27,5:00 - 6:00,5,µg/m³
PM2.5,2024-01-27,6:00 - 7:00,5,µg/m³
PM2.5,2024-01-27,7:00 - 8:00,5,µg/m³
PM2.5,2024-01-27,8:00 - 9:00,5,µg/m³
PM2.5,2024-01-27,9:00 - 10:00,5,µg/m³
PM2.5,2024-01-27,10:00 - 11:00,6,µg/m³
PM2.5,2024-01-27,11:00 - 12:00,7,µg/m³
PM2.5,2024-01-27,12:00 - 13:00,17,µg/m³
PM2.5,2024-01-27,13:00 - 14:00,14,µg/m³
PM2.5,2024-01-27,14:00 - 15:00,9,µg/m³
PM2.5,2024-01-27,15:00 - 16:00,9,µg/m³
PM2.5,2024-01-27,16:00 - 17:00,7,µg/m³
PM2.5,2024-01-27,17:00 - 18:00,6,µg/m³
PM2.5,2024-01-27,18:00 - 19:00,6,µg/m³
PM2.5,2024-01-27,19:00 - 20:00,7,µg/m³
PM2.5,2024-01-27,20:00 - 21:00,7,µg/m³
PM2.5,2024-01-27,21:00 - 22:00,10,µg/m³
PM2.5,2024-01-27,22:00 - 23:00,9,µg/m³
PM2.5,2024-01-28,23:00 - 0:00,7,µg/m³
PM2.5,2024-01-28,0:00 - 1:00,7,µg/m³
PM2.5,2024-01-28,1:00 - 2:00,8,µg/m³
PM2.5,2024-01-28,2:00 - 3:00,8,µg/m³
PM2.5,2024-01-28,3:00 - 4:00,9,µg/m³
PM2.5,2024-01-28,4:00 - 5:00,8,µg/m³
PM2.5,2024-01-28,5:00 - 6:00,8,µg/m³
PM2.5,2024-01-28,6:00 - 7:00,8,µg/m³
PM2.5,2024-01-28,7:00 - 8:00,10,µg/m³
PM2.5,2024-01-28,8:00 - 9:00,10,µg/m³
PM2.5,2024-01-28,9:00 - 10:00,9,µg/m³
PM2.5,2024-01-29,1:00 - 2:00,6,µg/m³
PM2.5,2024-01-29,2:00 - 3:00,5,µg/m³
PM2.5,2024-01-29,3:00 - 4:00,5,µg/m³
PM2.5,2024-01-29,4:00 - 5:00,7,µg/m³
PM2.5,2024-01-29,5:00 - 6:00,8,µg/m³
PM2.5,2024-01-29,6:00 - 7:00,11,µg/m³
PM2.5,2024-01-29,7:00 - 8:00,13,µg/m³
PM2.5,2024-01-29,8:00 - 9:00,13,µg/m³
PM2.5,2024-01-29,9:00 - 10:00,20,µg/m³
PM2.5,2024-01-29,10:00 - 11:00,19,µg/m³
PM2.5,2024-01-29,11:00 - 12:00,20,µg/m³
PM2.5,2024-01-29,12:00 - 13:00,16,µg/m³
PM2.5,2024-01-29,13:00 - 14:00,15,µg/m³
PM2.5,2024-01-29,14:00 - 15:00,17,µg/m³
PM2.5,2024-01-29,15:00 - 16:00,12,µg/m³
PM2.5,2024-01-29,16:00 - 17:00,6,µg/m³
PM2.5,2024-01-29,17:00 - 18:00,7,µg/m³
PM2.5,2024-01-29,18:00 - 19:00,8,µg/m³
PM2.5,2024-01-29,19:00 - 20:00,7,µg/m³
PM2.5,2024-01-29,20:00 - 21:00,5,µg/m³
PM2.5,2024-01-29,21:00 - 22:00,6,µg/m³
PM2.5,2024-01-29,22:00 - 23:00,7,µg/m³
PM2.5,2024-01-30,23:00 - 0:00,7,µg/m³
PM2.5,2024-01-30,0:00 - 1:00,4,µg/m³
PM2.5,2024-01-30,1:00 - 2:00,5,µg/m³
PM2.5,2024-01-30,2:00 - 3:00,9,µg/m³
PM2.5,2024-01-30,3:00 - 4:00,7,µg/m³
PM2.5,2024-01-30,4:00 - 5:00,6,µg/m³
PM2.5,2024-01-30,5:00 - 6:00,8,µg/m³
PM2.5,2024-01-30,6:00 - 7:00,11,µg/m³
PM2.5,2024-01-30,7:00 - 8:00,17,µg/m³
PM2.5,2024-01-30,8:00 - 9:00,17,µg/m³
PM2.5,2024-01-30,9:00 - 10:00,21,µg/m³
PM2.5,2024-01-30,10:00 - 11:00,34,µg/m³
PM2.5,2024-01-30,11:00 - 12:00,38,µg/m³
PM2.5,2024-01-30,12:00 - 13:00,28,µg/m³
PM2.5,2024-01-30,13:00 - 14:00,21,µg/m³
PM2.5,2024-01-30,14:00 - 15:00,20,µg/m³
PM2.5,2024-01-30,15:00 - 16:00,20,µg/m³
PM2.5,2024-01-30,16:00 - 17:00,22,µg/m³
PM2.5,2024-01-30,17:00 - 18:00,13,µg/m³
PM2.5,2024-01-30,18:00 - 19:00,12,µg/m³
PM2.5,2024-01-30,19:00 - 20:00,10,µg/m³
PM2.5,2024-01-30,20:00 - 21:00,14,µg/m³
PM2.5,2024-01-30,21:00 - 22:00,14,µg/m³
PM2.5,2024-01-30,22:00 - 23:00,13,µg/m³
PM2.5,2024-01-31,23:00 - 0:00,13,µg/m³
PM2.5,2024-01-31,0:00 - 1:00,11,µg/m³
PM2.5,2024-01-31,1:00 - 2:00,10,µg/m³
PM2.5,2024-01-31,2:00 - 3:00,13,µg/m³
PM2.5,2024-01-31,3:00 - 4:00,13,µg/m³
PM2.5,2024-01-31,4:00 - 5:00,13,µg/m³
PM2.5,2024-01-31,5:00 - 6:00,17,µg/m³
PM2.5,2024-01-31,6:00 - 7:00,17,µg/m³
PM2.5,2024-01-31,7:00 - 8:00,20,µg/m³
PM2.5,2024-01-31,8:00 - 9:00,23,µg/m³
PM2.5,2024-01-31,9:00 - 10:00,33,µg/m³
PM2.5,2024-01-31,10:00 - 11:00,36,µg/m³
PM2.5,2024-02-01,7:00 - 8:00,11,µg/m³
PM2.5,2024-02-01,12:00 - 13:00,39,µg/m³
PM2.5,2024-02-01,13:00 - 14:00,36,µg/m³
PM2.5,2024-02-01,14:00 - 15:00,36,µg/m³
PM2.5,2024-02-01,15:00 - 16:00,18,µg/m³
PM2.5,2024-02-01,16:00 - 17:00,14,µg/m³
PM2.5,2024-02-01,17:00 - 18:00,16,µg/m³
PM2.5,2024-02-01,19:00 - 20:00,17,µg/m³
PM2.5,2024-02-01,20:00 - 21:00,20,µg/m³
PM2.5,2024-02-01,21:00 - 22:00,20,µg/m³
PM2.5,2024-02-01,22:00 - 23:00,20,µg/m³
PM2.5,2024-02-02,23:00 - 0:00,26,µg/m³
PM2.5,2024-02-02,0:00 - 1:00,28,µg/m³
PM2.5,2024-02-02,1:00 - 2:00,24,µg/m³
PM2.5,2024-02-02,2:00 - 3:00,22,µg/m³
PM2.5,2024-02-02,3:00 - 4:00,23,µg/m³
PM2.5,2024-02-02,4:00 - 5:00,23,µg/m³
PM2.5,2024-02-02,5:00 - 6:00,25,µg/m³
PM2.5,2024-02-02,6:00 - 7:00,28,µg/m³
PM2.5,2024-02-02,7:00 - 8:00,32,µg/m³
PM2.5,2024-02-02,8:00 - 9:00,34,µg/m³
PM2.5,2024-02-02,9:00 - 10:00,33,µg/m³
PM2.5,2024-02-02,10:00 - 11:00,35,µg/m³
PM2.5,2024-02-02,11:00 - 12:00,58,µg/m³
PM2.5,2024-02-02,12:00 - 13:00,37,µg/m³
PM2.5,2024-02-02,13:00 - 14:00,34,µg/m³
PM2.5,2024-02-02,14:00 - 15:00,27,µg/m³
PM2.5,2024-02-02,15:00 - 16:00,21,µg/m³
PM2.5,2024-02-02,16:00 - 17:00,14,µg/m³
PM2.5,2024-02-02,17:00 - 18:00,13,µg/m³
PM2.5,2024-02-02,18:00 - 19:00,13,µg/m³
PM2.5,2024-02-02,19:00 - 20:00,14,µg/m³
PM2.5,2024-02-02,20:00 - 21:00,17,µg/m³
PM2.5,2024-02-02,21:00 - 22:00,26,µg/m³
PM2.5,2024-02-02,22:00 - 23:00,25,µg/m³
PM2.5,2024-02-03,23:00 - 0:00,23,µg/m³
PM2.5,2024-02-03,0:00 - 1:00,22,µg/m³
