Parametro,Fecha,Hora,Concentraciones horarias,Unidad
PM10,20/01/2024,8:00 - 9:00,69,µg/m³
PM10,20/01/2024,9:00 - 10:00,77,µg/m³
PM10,20/01/2024,10:00 - 11:00,88,µg/m³
PM10,20/01/2024,11:00 - 12:00,83,µg/m³
PM10,20/01/2024,12:00 - 13:00,88,µg/m³
PM10,20/01/2024,13:00 - 14:00,82,µg/m³
PM10,20/01/2024,14:00 - 15:00,84,µg/m³
PM10,20/01/2024,15:00 - 16:00,83,µg/m³
PM10,20/01/2024,16:00 - 17:00,80,µg/m³
PM10,20/01/2024,17:00 - 18:00,76,µg/m³
PM10,20/01/2024,18:00 - 19:00,63,µg/m³
PM10,20/01/2024,19:00 - 20:00,64,µg/m³
PM10,20/01/2024,20:00 - 21:00,62,µg/m³
PM10,20/01/2024,21:00 - 22:00,42,µg/m³
PM10,20/01/2024,22:00 - 23:00,36,µg/m³
PM10,21/01/2024,23:00 - 0:00,40,µg/m³
PM10,21/01/2024,0:00 - 1:00,41,µg/m³
PM10,21/01/2024,1:00 - 2:00,36,µg/m³
PM10,21/01/2024,2:00 - 3:00,37,µg/m³
PM10,21/01/2024,3:00 - 4:00,35,µg/m³
PM10,21/01/2024,4:00 - 5:00,30,µg/m³
PM10,21/01/2024,5:00 - 6:00,25,µg/m³
PM10,21/01/2024,6:00 - 7:00,22,µg/m³
PM10,21/01/2024,7:00 - 8:00,28,µg/m³
PM10,21/01/2024,8:00 - 9:00,32,µg/m³
PM10,21/01/2024,9:00 - 10:00,32,µg/m³
PM10,21/01/2024,10:00 - 11:00,30,µg/m³
PM10,21/01/2024,11:00 - 12:00,29,µg/m³
PM10,21/01/2024,12:00 - 13:00,29,µg/m³
PM10,21/01/2024,13:00 - 14:00,32,µg/m³
PM10,21/01/2024,14:00 - 15:00,25,µg/m³
PM10,21/01/2024,15:00 - 16:00,28,µg/m³
PM10,21/01/2024,16:00 - 17:00,32,µg/m³
PM10,21/01/2024,17:00 - 18:00,22,µg/m³
